Base Name;Cell Position;Fiber Position;Label;Index
TL3_001;(-176.77308654785156, 15.761553764343262, 112.11492919921875);(-143.17076110839844, 14.278904914855957, 100.5846939086914);0;100
TL3_001;(84.20814514160156, 83.76155090332031, -221.60763549804688);(70.60216522216797, 68.2789077758789, -190.5771484375);1;100
TL3_002;(-176.95867919921875, 11.6087064743042, 104.79461669921875);(-145.88803100585938, 9.975462913513184, 91.25452423095703);0;101
TL3_002;(87.21184539794922, 107.60870361328125, -213.39334106445312);(71.60456085205078, 87.9754638671875, -173.22610473632812);1;101
TL3_003;(-179.10256958007812, 10.216167449951172, 101.79364776611328);(-146.0721435546875, 8.654305458068848, 87.26500701904297);0;102
TL3_003;(88.1139144897461, 94.2161636352539, -191.73385620117188);(75.55535125732422, 80.23108673095703, -159.7349853515625);1;102
TL3_004;(-170.9129180908203, 21.471778869628906, 106.6130142211914);(-138.29637145996094, 16.97260856628418, 96.00074768066406);0;103
TL3_004;(91.3445816040039, 97.4717788696289, -198.6326446533203);(78.2177505493164, 83.97261047363281, -169.99925231933594);1;103
TL3_005;(-169.37371826171875, 6.641026973724365, 120.07758331298828);(-135.7447967529297, 5.091846466064453, 109.49934387207031);0;104
TL3_005;(88.35064697265625, 110.64102935791016, -216.60133361816406);(72.80866241455078, 91.09185028076172, -190.77232360839844);1;104
TL3_006;(-170.90235900878906, 7.190646171569824, 108.29253387451172);(-139.43043518066406, 6.73589563369751, 97.54138946533203);0;105
TL3_006;(101.09764099121094, 99.19064331054688, -191.72959899902344);(85.63817596435547, 84.73589324951172, -163.92718505859375);1;105
TL3_007;(-176.58448791503906, 3.982304811477661, 105.9221420288086);(-148.26539611816406, 5.531254768371582, 88.8766860961914);0;106
TL3_007;(79.25245666503906, 99.98230743408203, -168.61685180664062);(68.73461151123047, 90.53125762939453, -136.89285278320312);1;106
TL3_008;(-180.38507080078125, -4.194937229156494, 107.90802764892578);(-150.0030975341797, -3.6248486042022705, 94.75425720214844);0;107
TL3_008;(127.61492919921875, 107.80506134033203, -161.243408203125);(106.99691009521484, 92.544189453125, -141.51634216308594);1;107
TL3_009;(-178.55941772460938, 21.809062957763672, 113.14325714111328);(-150.88845825195312, 22.297470092773438, 91.55110168457031);0;108
TL3_009;(122.37126159667969, 121.8090591430664, -110.85674285888672);(101.98084259033203, 105.29747009277344, -86.44889831542969);1;108
TL3_010;(-180.09463500976562, 44.224212646484375, 73.53646850585938);(-151.34283447265625, 39.70770263671875, 69.0430679321289);0;109
TL3_010;(169.42466735839844, 84.22421264648438, -128.8727569580078);(138.36676025390625, 73.70770263671875, -112.9569320678711);1;109
TL3_011;(-181.8440399169922, 50.978878021240234, 90.94756317138672);(-152.47183227539062, 46.50072479248047, 76.39449310302734);0;110
TL3_011;(143.370361328125, 89.15658569335938, -125.05243682861328);(120.92303466796875, 77.23055267333984, -100.60550689697266);1;110
TL3_012;(-183.78196716308594, 30.566242218017578, 80.94580841064453);(-153.5743865966797, 27.07284164428711, 70.38809967041016);0;111
TL3_012;(143.3964385986328, 94.56623840332031, -139.05418395996094);(119.01502227783203, 81.07283782958984, -116.17337799072266);1;111
TL3_013;(-175.9566650390625, 37.2781982421875, 108.10627746582031);(-143.4187774658203, 31.78215217590332, 98.56785583496094);0;112
TL3_013;(132.0433349609375, 109.2781982421875, -164.06211853027344);(108.76642608642578, 90.78215026855469, -147.67771911621094);1;112
